n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.501053,0.019902,0.0457,0.039808,0.628386,1
10000,0.627145,0.019902,0.0367,0.039808,0.678211,0.9998
10000,0.517584,0.019902,0.041,0.039808,0.712169,0.9998
10000,0.362388,0.019902,0.0417,0.039808,0.691214,0.9999
10000,0.54342,0.019902,0.0439,0.039808,0.6296,0.9998
10000,0.498571,0.019902,0.0384,0.039808,0.68592,0.9998
10000,0.376225,0.019902,0.0365,0.039808,0.706261,0.9997
10000,0.735209,0.019902,0.0391,0.039808,0.64838,0.9996
10000,0.315807,0.019902,0.0345,0.039808,0.678276,0.9999
10000,0.419203,0.019902,0.0388,0.039808,0.630824,0.9997
10000,0.30155,0.019902,0.0403,0.039808,0.654668,0.9997
10000,0.305477,0.019902,0.0431,0.039808,0.649835,0.9999
10000,0.423012,0.019902,0.0414,0.039808,0.669081,0.9999
10000,0.459319,0.019902,0.0371,0.039808,0.677681,0.9995
10000,0.502347,0.019902,0.0343,0.039808,0.685675,0.9998
10000,0.766564,0.019902,0.0406,0.039808,0.692363,0.9998
10000,0.679488,0.019902,0.0387,0.039808,0.654429,0.9998
10000,0.417474,0.019902,0.0384,0.039808,0.659397,0.9997
10000,0.792733,0.019902,0.0351,0.039808,0.715349,0.9998
10000,0.332462,0.019902,0.0401,0.039808,0.678226,0.9999
10000,0.828077,0.019902,0.0381,0.039808,0.670832,0.9995
10000,0.46763,0.019902,0.0396,0.039808,0.674984,1
10000,0.344731,0.019902,0.0394,0.039808,0.671118,0.9998
10000,0.821038,0.019902,0.0394,0.039808,0.662865,0.9998
10000,0.649744,0.019902,0.0397,0.039808,0.650791,0.9998
10000,0.457967,0.019902,0.0381,0.039808,0.639716,0.9998
10000,0.598098,0.019902,0.0412,0.039808,0.665959,0.9998
10000,0.313599,0.019902,0.0375,0.039808,0.657386,0.9999
10000,0.654663,0.019902,0.0377,0.039808,0.632344,0.9998
10000,0.288298,0.019902,0.0414,0.039808,0.657887,0.9998
10000,0.41145,0.019902,0.0396,0.039808,0.688291,0.9998
10000,0.399,0.019902,0.0474,0.039808,0.646477,0.9998
10000,0.248093,0.019902,0.0383,0.039808,0.647817,0.9999
10000,0.353669,0.019902,0.0415,0.039808,0.648386,0.9998
10000,0.502403,0.019902,0.0363,0.039808,0.657271,0.9999
10000,0.322261,0.019902,0.0422,0.039808,0.669045,0.9999
10000,0.58701,0.019902,0.0381,0.039808,0.664609,0.9996
10000,0.360547,0.019902,0.0371,0.039808,0.667124,0.9999
10000,0.453749,0.019902,0.039,0.039808,0.644457,0.9999
10000,0.426113,0.019902,0.0427,0.039808,0.667431,0.9997
10000,0.555661,0.019902,0.0347,0.039808,0.636254,0.9995
10000,0.59137,0.019902,0.0358,0.039808,0.679087,0.9998
10000,0.713688,0.019902,0.041,0.039808,0.669244,0.9997
10000,0.373755,0.019902,0.0408,0.039808,0.670133,0.9998
10000,0.469919,0.019902,0.0342,0.039808,0.700189,0.9996
10000,0.828167,0.019902,0.0393,0.039808,0.659014,0.9998
10000,0.293007,0.019902,0.0373,0.039808,0.715995,0.9999
10000,0.458471,0.019902,0.0411,0.039808,0.599532,0.9997
10000,0.730456,0.019902,0.0414,0.039808,0.63836,0.9997
10000,0.710906,0.019902,0.038,0.039808,0.660031,0.9998
10000,0.320759,0.019902,0.0375,0.039808,0.677204,0.9996
10000,0.261142,0.019902,0.0395,0.039808,0.634688,0.9993
10000,0.325098,0.019902,0.0362,0.039808,0.645728,0.9996
10000,0.602573,0.019902,0.0399,0.039808,0.680541,0.9997
10000,0.367202,0.019902,0.0394,0.039808,0.615562,0.9996
10000,0.338374,0.019902,0.0397,0.039808,0.633776,0.9995
10000,0.353382,0.019902,0.0382,0.039808,0.630992,0.9996
10000,0.707908,0.019902,0.0374,0.039808,0.605475,0.9998
10000,0.44352,0.019902,0.0398,0.039808,0.645348,0.9998
10000,0.535222,0.019902,0.0404,0.039808,0.665282,1
10000,0.236091,0.019902,0.0421,0.039808,0.687592,0.9997
10000,0.765237,0.019902,0.0387,0.039808,0.659001,0.9997
10000,0.572348,0.019902,0.0375,0.039808,0.70226,0.9998
10000,0.670676,0.019902,0.0405,0.039808,0.640104,0.9994
10000,0.58237,0.019902,0.043,0.039808,0.672805,0.9996
10000,0.322999,0.019902,0.0437,0.039808,0.690343,0.9999
10000,0.684998,0.019902,0.038,0.039808,0.631218,0.9997
10000,0.332738,0.019902,0.0442,0.039808,0.671138,0.9999
10000,0.643536,0.019902,0.0389,0.039808,0.691272,0.9998
10000,0.793167,0.019902,0.0445,0.039808,0.667427,1
10000,0.382595,0.019902,0.0401,0.039808,0.682893,0.9998
10000,0.792313,0.019902,0.0424,0.039808,0.657833,1
10000,0.804447,0.019902,0.0398,0.039808,0.723294,0.9998
10000,0.451612,0.019902,0.0386,0.039808,0.650984,0.9999
10000,0.268114,0.019902,0.0445,0.039808,0.580123,0.9995
10000,0.708131,0.019902,0.0384,0.039808,0.697386,0.9996
10000,0.627957,0.019902,0.0348,0.039808,0.693944,0.9998
10000,0.689233,0.019902,0.0403,0.039808,0.640148,0.9997
10000,0.824509,0.019902,0.0386,0.039808,0.699887,0.9999
10000,0.272754,0.019902,0.0431,0.039808,0.642684,0.9998
10000,0.661293,0.019902,0.0412,0.039808,0.631925,0.9999
10000,0.444013,0.019902,0.0437,0.039808,0.639591,0.9999
10000,0.585337,0.019902,0.0377,0.039808,0.681262,0.9998
10000,0.432458,0.019902,0.0399,0.039808,0.694977,0.9999
10000,0.473565,0.019902,0.0401,0.039808,0.649519,0.9998
10000,0.33851,0.019902,0.0392,0.039808,0.666969,0.9997
10000,0.602652,0.019902,0.0398,0.039808,0.673513,0.9999
10000,0.468664,0.019902,0.0422,0.039808,0.619596,0.9997
10000,0.382798,0.019902,0.0375,0.039808,0.644879,0.9996
10000,0.316959,0.019902,0.038,0.039808,0.656281,1
10000,0.72057,0.019902,0.0362,0.039808,0.690074,0.9999
10000,0.305878,0.019902,0.0399,0.039808,0.653639,0.9994
10000,0.390716,0.019902,0.0391,0.039808,0.617381,0.9999
10000,0.517899,0.019902,0.0346,0.039808,0.660891,1
10000,0.417524,0.019902,0.0398,0.039808,0.659129,0.9998
10000,0.632335,0.019902,0.0374,0.039808,0.673669,0.9997
10000,0.474374,0.019902,0.0424,0.039808,0.642669,0.9996
10000,0.425978,0.019902,0.0382,0.039808,0.649039,0.9996
10000,0.456537,0.019902,0.0419,0.039808,0.656093,0.9998
10000,0.524505,0.019902,0.0358,0.039808,0.664633,0.9996
10000,0.396648,0.019902,0.0407,0.039808,0.685243,0.9997
