n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.465801,0.50115,0.0188,0.670434,0.663227,0.9997
10000,0.778203,0.49635,0.0196,0.666933,0.662465,0.9999
10000,0.304006,0.50305,0.0192,0.662232,0.668602,0.9999
10000,0.280175,0.50345,0.0192,0.665733,0.675411,1
10000,0.566828,0.50055,0.0188,0.671934,0.670466,1
10000,0.302032,0.50225,0.0192,0.667133,0.668818,1
10000,0.366804,0.50115,0.0189,0.663533,0.663476,1
10000,0.538503,0.49955,0.0189,0.664233,0.66895,1
10000,0.445085,0.49855,0.0192,0.668334,0.665753,1
10000,0.311307,0.506351,0.0194,0.662232,0.671677,1
10000,0.259233,0.492249,0.0189,0.671034,0.666899,0.9998
10000,0.42373,0.50035,0.019,0.669334,0.670632,0.9998
10000,0.179504,0.49905,0.019,0.676535,0.663003,0.9998
10000,0.831499,0.49835,0.0189,0.670034,0.658216,0.9999
10000,0.394011,0.49715,0.0188,0.671334,0.66644,1
10000,0.492864,0.49845,0.0194,0.656831,0.668752,0.9999
10000,0.615601,0.494949,0.0194,0.658732,0.666173,0.9999
10000,0.546219,0.50115,0.0189,0.671234,0.663978,1
10000,0.304852,0.49825,0.0186,0.660832,0.666569,0.9999
10000,0.360365,0.49655,0.0202,0.664233,0.666466,0.9999
10000,0.573567,0.50195,0.0195,0.660732,0.665674,0.9998
10000,0.290413,0.50165,0.0193,0.666433,0.662902,1
10000,0.557437,0.49895,0.019,0.664433,0.67213,1
10000,0.671989,0.50085,0.02,0.669234,0.66563,0.9996
10000,0.352763,0.49645,0.0191,0.667033,0.662967,0.9999
10000,0.602251,0.505151,0.0191,0.673235,0.664147,0.9999
10000,0.572927,0.50085,0.019,0.664633,0.671061,1
10000,0.618831,0.50155,0.0186,0.670134,0.670391,0.9999
10000,0.658163,0.49735,0.0187,0.664933,0.667628,0.9999
10000,0.247068,0.50275,0.0195,0.670834,0.666725,1
10000,0.331029,0.49565,0.0191,0.670334,0.667647,0.9999
10000,0.299073,0.50045,0.0194,0.666333,0.655704,0.9999
10000,0.419892,0.505051,0.0195,0.669534,0.663962,0.9998
10000,0.36296,0.50375,0.0194,0.662833,0.662331,1
10000,0.279027,0.50225,0.0191,0.660932,0.664841,0.9997
10000,0.54778,0.49745,0.0186,0.665633,0.669129,0.9998
10000,0.416859,0.494849,0.019,0.670834,0.666111,0.9998
10000,0.517804,0.50225,0.0194,0.672735,0.661516,0.9999
10000,0.562994,0.50255,0.0192,0.670934,0.662859,0.9999
10000,0.30251,0.49785,0.0194,0.667133,0.662594,1
10000,0.716577,0.49935,0.0196,0.667934,0.662587,0.9999
10000,0.25583,0.505151,0.0199,0.665433,0.657801,0.9999
10000,0.867074,0.50025,0.0191,0.660932,0.670001,0.9999
10000,0.534654,0.49855,0.0189,0.677536,0.662469,1
10000,0.277269,0.49585,0.0193,0.668834,0.670529,1
10000,0.782963,0.49885,0.0196,0.662733,0.659993,0.9997
10000,0.4748,0.50155,0.0198,0.663833,0.661907,0.9998
10000,0.666192,0.49745,0.0188,0.657331,0.668561,0.9999
10000,0.330095,0.49945,0.0191,0.662132,0.667913,0.9997
10000,0.557284,0.49585,0.0187,0.682336,0.673811,0.9999
10000,0.421215,0.50345,0.0195,0.668334,0.665123,0.9999
10000,0.321468,0.50185,0.0196,0.664833,0.663867,1
10000,0.639004,0.49755,0.0191,0.669734,0.66661,1
10000,0.685604,0.50005,0.0193,0.665233,0.671034,1
10000,0.461732,0.50035,0.0193,0.664033,0.663394,1
10000,0.554691,0.50325,0.0201,0.667634,0.66259,0.9999
10000,0.328234,0.494349,0.0204,0.662032,0.661108,0.9999
10000,0.26679,0.50215,0.0192,0.661932,0.664821,1
10000,0.574523,0.50105,0.0192,0.672334,0.66268,1
10000,0.653382,0.49975,0.019,0.669034,0.665638,0.9998
10000,0.744651,0.50065,0.0194,0.666733,0.668908,0.9999
10000,0.440942,0.49665,0.0188,0.673235,0.672775,0.9996
10000,0.295113,0.50095,0.019,0.670334,0.669361,0.9999
10000,0.530007,0.49705,0.0194,0.660232,0.663601,1
10000,0.422581,0.50215,0.0187,0.665633,0.666911,1
10000,0.555267,0.49675,0.019,0.673135,0.667223,1
10000,0.495059,0.505051,0.0194,0.667233,0.664436,1
10000,0.440477,0.50055,0.0188,0.665033,0.666979,0.9999
10000,0.568411,0.49955,0.0196,0.667033,0.671174,0.9999
10000,0.437802,0.50315,0.0205,0.665133,0.665708,0.9997
10000,0.492369,0.50405,0.0189,0.661532,0.658261,0.9999
10000,0.372003,0.50095,0.0191,0.669334,0.669962,0.9999
10000,0.872402,0.494649,0.0192,0.667534,0.66322,0.9998
10000,0.716696,0.50055,0.0197,0.674535,0.665222,0.9999
10000,0.633568,0.50005,0.0189,0.656631,0.661126,1
10000,0.361229,0.50165,0.0188,0.667734,0.663134,1
10000,0.410656,0.50025,0.0199,0.667033,0.667407,1
10000,0.440862,0.50215,0.0192,0.658332,0.668973,1
10000,0.726005,0.50045,0.0194,0.671234,0.661047,0.9999
10000,0.543562,0.49865,0.0192,0.665233,0.664331,1
10000,0.699586,0.49905,0.0192,0.671634,0.671705,0.9998
10000,0.698418,0.493249,0.0194,0.668934,0.65433,0.9999
10000,0.382364,0.50135,0.0183,0.665333,0.673946,1
10000,0.245483,0.49955,0.0189,0.669034,0.66556,1
10000,0.413453,0.50235,0.0197,0.663933,0.66848,1
10000,0.437269,0.50265,0.0189,0.663233,0.664083,0.9998
10000,0.737176,0.49645,0.0193,0.666433,0.672304,0.9999
10000,0.2333,0.49975,0.0198,0.668834,0.666503,0.9998
10000,0.419167,0.49895,0.0196,0.662833,0.661912,0.9999
10000,0.699963,0.50345,0.0187,0.665033,0.666623,1
10000,0.312302,0.491849,0.019,0.661632,0.664949,0.9996
10000,0.741074,0.494749,0.0193,0.661532,0.66525,0.9998
10000,0.641939,0.50125,0.0197,0.661132,0.662414,1
10000,0.484782,0.50075,0.0205,0.667333,0.667875,0.9999
10000,0.623421,0.49605,0.019,0.667734,0.677167,1
10000,0.251434,0.50175,0.0197,0.663933,0.666358,0.9999
10000,0.364403,0.49865,0.0188,0.670334,0.6687,0.9999
10000,0.433694,0.49955,0.0202,0.663733,0.66456,1
10000,0.548553,0.49725,0.0193,0.669334,0.663643,0.9999
10000,0.43595,0.50085,0.0188,0.662332,0.668692,0.9999
10000,0.826392,0.50085,0.0198,0.666033,0.668456,1
10000,0.418026,0.506151,0.0191,0.664833,0.667806,1
10000,0.349075,0.49915,0.0188,0.672535,0.666976,0.9999
10000,0.370599,0.49725,0.0185,0.659432,0.661152,1
10000,0.352589,0.49985,0.0182,0.668134,0.673809,0.9999
10000,0.366664,0.49815,0.0197,0.671034,0.664026,1
10000,0.682723,0.506151,0.0191,0.674835,0.663684,0.9999
10000,0.390245,0.50205,0.0197,0.670634,0.666708,1
10000,0.649711,0.492449,0.0205,0.663433,0.667226,0.9999
10000,0.62757,0.50395,0.019,0.671234,0.664527,1
